borehole_id,borehole_type,total_surviving_fio_load,Q_L_per_day,concentration_CFU_per_L
privbh_10731,private,25437882669.610214,2000.0,12718941.334805107
privbh_10732,private,12675397281.724627,2000.0,6337698.640862313
privbh_10733,private,12739699305.055227,2000.0,6369849.652527614
privbh_10737,private,114204248830.26663,2000.0,57102124.41513331
privbh_10738,private,304794859215.903,2000.0,152397429.60795152
privbh_10739,private,12690370794.902424,2000.0,6345185.397451212
privbh_10740,private,114145246025.71056,2000.0,57072623.01285528
privbh_10743,private,12699638655.911797,2000.0,6349819.327955898
privbh_10746,private,12676183607.132767,2000.0,6338091.803566383
privbh_10755,private,12762649686.46944,2000.0,6381324.843234721
privbh_10756,private,101430020550.40283,2000.0,50715010.27520142
privbh_10758,private,101670918904.57103,2000.0,50835459.45228551
privbh_10766,private,101721093314.80634,2000.0,50860546.65740317
privbh_1077,private,12696762500.778936,2000.0,6348381.250389468
privbh_10773,private,12744016783.522324,2000.0,6372008.391761161
privbh_10781,private,12735603823.695274,2000.0,6367801.911847637
privbh_10786,private,12699125784.238342,2000.0,6349562.892119171
privbh_10788,private,127790828527.96909,2000.0,63895414.263984546
privbh_10789,private,12731148738.109598,2000.0,6365574.369054799
privbh_10791,private,228851395040.22354,2000.0,114425697.52011177
privbh_10792,private,127588971540.89467,2000.0,63794485.770447336
privbh_10793,private,356590423383.05066,2000.0,178295211.69152534
privbh_10794,private,114848607332.96713,2000.0,57424303.666483566
privbh_10796,private,127696264835.92517,2000.0,63848132.41796259
privbh_10797,private,38281325480.93461,2000.0,19140662.740467303
privbh_10799,private,101475442467.95895,2000.0,50737721.23397948
privbh_10800,private,12732658401.686337,2000.0,6366329.200843168
privbh_10801,private,177981949664.14627,2000.0,88990974.83207314
privbh_10803,private,12752253896.939219,2000.0,6376126.948469609
privbh_10804,private,25481520124.848236,2000.0,12740760.062424118
privbh_10813,private,203309713680.36652,2000.0,101654856.84018326
privbh_10814,private,25473849134.803974,2000.0,12736924.567401987
privbh_10815,private,127621792751.92345,2000.0,63810896.37596172
privbh_10816,private,215653199442.9486,2000.0,107826599.7214743
privbh_10817,private,12725212881.496502,2000.0,6362606.440748251
privbh_10818,private,38073002156.839935,2000.0,19036501.07841997
privbh_10819,private,12695490068.437891,2000.0,6347745.034218946
privbh_1082,private,12679357145.536325,2000.0,6339678.572768163
privbh_10820,private,12776233643.240128,2000.0,6388116.821620064
privbh_10823,private,127331948830.29791,2000.0,63665974.41514896
privbh_10824,private,204119260916.26688,2000.0,102059630.45813344
privbh_1083,private,12674233258.876741,2000.0,6337116.6294383705
privbh_10830,private,12714261085.83377,2000.0,6357130.542916886
privbh_10835,private,12727943094.942595,2000.0,6363971.547471297
privbh_10836,private,12727291557.67193,2000.0,6363645.778835965
privbh_10837,private,25464734705.999477,2000.0,12732367.35299974
privbh_10838,private,12721605187.830412,2000.0,6360802.593915206
privbh_10841,private,25415851807.173267,2000.0,12707925.903586634
privbh_10842,private,12674478380.365389,2000.0,6337239.190182694
privbh_10847,private,12741492498.440752,2000.0,6370746.249220376
privbh_10848,private,12701744467.023884,2000.0,6350872.2335119415
privbh_10849,private,203490726560.18802,2000.0,101745363.28009401
privbh_1085,private,126834641283.48956,2000.0,63417320.641744785
privbh_10854,private,101824025896.11028,2000.0,50912012.94805514
privbh_10856,private,12740497441.736818,2000.0,6370248.72086841
privbh_10861,private,12702105160.71262,2000.0,6351052.58035631
privbh_10862,private,12694463243.984652,2000.0,6347231.621992325
privbh_10865,private,12699789759.806807,2000.0,6349894.879903403
privbh_10866,private,101544580055.57228,2000.0,50772290.02778614
privbh_10868,private,12673580518.36984,2000.0,6336790.25918492
privbh_10871,private,12730280439.100622,2000.0,6365140.219550311
privbh_10873,private,25357414241.231712,2000.0,12678707.120615857
privbh_10876,private,12685871628.760597,2000.0,6342935.814380298
privbh_10878,private,101560115770.40312,2000.0,50780057.88520156
privbh_10879,private,101912677416.2932,2000.0,50956338.7081466
privbh_10881,private,101896209698.80965,2000.0,50948104.84940483
privbh_10882,private,101957721167.83641,2000.0,50978860.58391821
privbh_10883,private,139792411203.9234,2000.0,69896205.6019617
privbh_10888,private,101400355494.29509,2000.0,50700177.747147545
privbh_10890,private,101807819170.78761,2000.0,50903909.58539381
privbh_10892,private,12730343662.057102,2000.0,6365171.831028551
privbh_10894,private,12755940109.127365,2000.0,6377970.0545636825
privbh_10895,private,101551861740.1387,2000.0,50775930.870069355
privbh_10900,private,114178840149.19943,2000.0,57089420.07459971
privbh_10902,private,317286593215.7251,2000.0,158643296.60786256
privbh_10904,private,12685909897.40666,2000.0,6342954.94870333
