borehole_id,borehole_type,Q_L_per_day,total_surviving_fio_load,concentration_CFU_per_100mL,lat,long
privbh_10192,private,2000.0,153381107993.1609,7669055.399658045,-6.2035079,39.210503
privbh_10193,private,857.1428571428571,244285759445.09637,28500005.26859458,-6.2034995,39.2120937
privbh_10194,private,571.4285714285714,1660465370988.8496,290581439.9230487,-6.2044631,39.2137688
privbh_10195,private,571.4285714285714,837203287789.3047,146510575.3631283,-6.2041801,39.2134256
privbh_10196,private,2000.0,385219822251.44104,19260991.11257205,-6.2039183,39.21319
privbh_10197,private,571.4285714285714,3368226345611.468,589439610.4820068,-6.2046982,39.2132889
privbh_10198,private,571.4285714285714,4577873622272.637,801127883.8977114,-6.2048624,39.213201
privbh_10199,private,857.1428571428571,1437562545228.6792,167715630.27667925,-6.2049133,39.2121719
privbh_102,private,857.1428571428571,300721936284.3147,35084225.89983671,-6.1801779,39.2187808
privbh_1020,private,2142.857142857143,287714038682.70764,13426655.138526356,-6.1471256,39.2400517
privbh_10200,private,571.4285714285714,1095920377616.441,191786066.0828772,-6.2048283,39.2121771
privbh_10201,private,2000.0,785573860314.3467,39278693.015717335,-6.2047078,39.2121478
privbh_10202,private,3000.0,1778581495105.129,59286049.83683763,-6.2044594,39.2126003
privbh_10203,private,1000.0,982088376153.9336,98208837.61539337,-6.2041313,39.212231
privbh_10204,private,2000.0,551979428176.3987,27598971.408819932,-6.2049616,39.2113289
privbh_10205,private,1000.0,575135260020.0897,57513526.002008975,-6.204703,39.2100608
privbh_10206,private,1714.2857142857142,653667612557.0244,38130610.73249309,-6.2044443,39.2103696
privbh_10207,private,2000.0,436209357957.0761,21810467.897853807,-6.2044911,39.211024
privbh_10208,private,2000.0,738379716439.0769,36918985.82195385,-6.2043137,39.2114213
privbh_10209,private,1000.0,434858419117.01807,43485841.911701806,-6.2041592,39.2116347
privbh_10210,private,2000.0,1199740953847.4724,59987047.69237362,-6.20416,39.21239
privbh_10211,private,3000.0,72736295165.089,2424543.1721696337,-6.2031602,39.2105264
privbh_10214,private,2000.0,146264281367.8978,7313214.06839489,-6.2038481,39.2126591
privbh_10215,private,2000.0,372633939062.71606,18631696.953135803,-6.203798,39.2133198
privbh_10216,private,2000.0,383471313610.4503,19173565.680522516,-6.2039013,39.2132217
privbh_10217,private,5000.0,2537253065515.0474,50745061.310300946,-6.2043485,39.2127968
privbh_10218,private,2000.0,448027792110.5404,22401389.60552702,-6.2043505,39.2119775
privbh_10219,private,1000.0,620923587976.7135,62092358.797671355,-6.2046212,39.2117871
